stockId,product,manager,asset,finance,investment,speculation,main,mainInvestment,mainSpeculation,total
2108.0,6,9,10,8,5,6,11,38,39,44
2109.0,5,1,2,7,9,9,18,24,24,33
2114.0,10,9,10,5,7,2,9,41,36,43
2115.0,4,7,7,4,8,8,16,30,30,38
2201.0,7,0,0,6,2,9,11,15,22,24
2204.0,4,0,0,9,3,6,9,16,19,22
2206.0,6,7,5,2,10,9,19,30,29,39
2207.0,1,7,4,6,3,7,10,21,25,28
2208.0,0,0,0,1,0,9,9,1,10,10
2211.0,10,6,10,5,9,3,12,40,34,43
2221.0,6,7,7,5,9,8,17,34,33,42
2227.0,1,9,9,6,3,6,9,28,31,34
2228.0,7,5,6,5,8,7,15,31,30,38
2230.0,8,0,0,3,2,2,4,13,13,15
2231.0,8,7,7,2,4,3,7,28,27,31
2233.0,8,8,8,5,8,5,13,37,34,42
2235.0,7,4,5,6,4,4,8,26,26,30
2236.0,4,3,4,3,4,6,10,18,20,24
2239.0,2,2,2,3,4,10,14,13,19,23
2241.0,0,0,0,1,0,3,3,1,4,4
2243.0,0,0,0,5,0,9,9,5,14,14
2247.0,3,7,8,4,9,10,19,31,32,41
2250.0,3,5,4,4,5,9,14,21,25,30
2254.0,0,1,1,1,1,1,2,4,4,5
2301.0,6,8,7,8,7,6,13,36,35,42
2302.0,6,2,2,8,4,3,7,22,21,25
2303.0,10,4,5,3,10,4,14,32,26,36
2305.0,0,0,0,4,0,2,2,4,6,6
2308.0,6,9,8,3,5,6,11,31,32,37
2312.0,2,1,1,3,4,10,14,11,17,21
2313.0,4,9,7,3,7,7,14,30,30,37
2314.0,0,0,0,4,0,5,5,4,9,9
2316.0,0,4,4,3,3,6,9,14,17,20
2317.0,2,6,5,5,10,10,20,28,28,38
2321.0,0,0,0,1,0,10,10,1,11,11
2323.0,0,0,0,6,9,7,16,15,13,22
2324.0,1,5,3,7,5,10,15,21,26,31
2327.0,9,10,9,3,9,5,14,40,36,45
2328.0,4,5,7,9,9,9,18,34,34,43
2329.0,6,1,1,4,5,5,10,17,17,22
2330.0,10,10,10,3,7,2,9,40,35,42
2331.0,2,1,1,8,5,9,14,17,21,26
2332.0,2,0,0,6,9,9,18,17,17,26
2337.0,0,9,8,2,0,6,6,19,25,25
2338.0,6,5,6,1,6,5,11,24,23,29
2340.0,2,5,7,5,2,3,5,21,22,24
2342.0,0,0,0,4,0,4,4,4,8,8
2344.0,0,2,2,2,0,7,7,6,13,13
2345.0,7,10,10,7,4,3,7,38,37,41
2347.0,2,8,6,5,8,10,18,29,31,39
2348.0,10,10,7,1,10,7,17,38,35,45
2349.0,0,0,0,2,0,9,9,2,11,11
2351.0,6,6,5,3,5,6,11,25,26,31
2352.0,2,6,4,3,4,10,14,19,25,29
2353.0,1,4,3,5,3,10,13,16,23,26
2354.0,2,3,8,9,7,8,15,29,30,37
2355.0,3,1,2,7,5,8,13,18,21,26
2356.0,1,7,4,7,3,10,13,22,29,32
2357.0,2,3,3,7,3,9,12,18,24,27
2358.0,0,1,1,1,0,8,8,3,11,11
2359.0,2,3,5,9,9,6,15,28,25,34
